,rank,title,artist,date
0,1,Вали,Канги,31/08/2020
1,2,БЕГИ feat. Poët,Dj Smash,31/08/2020
2,3,Сияй,Ramil’,31/08/2020
3,4,Ты пари,JONY,31/08/2020
4,5,Minor,Miyagi & Andy Panda,31/08/2020
5,6,Не смогу,"VERBEE, KARA KROSS",31/08/2020
6,7,Lollipop,"Gafur, JONY",31/08/2020
7,8,Юность,Dabro,31/08/2020
8,9,Мир сошёл с ума,JONY,31/08/2020
9,10,Fendi,Rakhim,31/08/2020
10,11,Там ревели горы,Miyagi & Andy Panda,31/08/2020
11,12,Втюрилась,дора,31/08/2020
12,13,Поболело и прошло,HENSY,31/08/2020
13,14,Минимум,"Ямаджи, Фейджи",31/08/2020
14,15,Твой поцелуй,"Асия, NЮ",31/08/2020
15,16,Cadillac,"MORGENSHTERN, Элджей",31/08/2020
16,17,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,31/08/2020
17,18,Изгибы твоего тела,Buga,31/08/2020
18,19,X.O,"The Limba, Andro",31/08/2020
19,20,Hollywood,MACAN,31/08/2020
20,21,Тепло,Макс Корж,31/08/2020
21,22,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",31/08/2020
22,23,А уже фсё,MITCHEL,31/08/2020
23,24,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,31/08/2020
24,25,Краш,"Клава Кока, NILETTO",31/08/2020
25,26,неболей,"Баста, Zivert",31/08/2020
26,27,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",31/08/2020
27,28,ICE (feat. MORGENSHTERN),MORGENSHTERN,31/08/2020
28,29,Ананасовый сироп,"Natan, Ганвест",31/08/2020
29,30,Да пошло всё,Мэвл,31/08/2020
30,31,А если это любовь?,HammAli & Navai,31/08/2020
31,32,Небесные розы,JONY,31/08/2020
32,33,По щекам слёзы,"КУЧЕР, JANAGA",31/08/2020
33,34,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",31/08/2020
34,35,А за окном дожди,JONY,31/08/2020
35,36,Французский поцелуй,"Миша Марвин, Ханна",31/08/2020
36,37,Yamakasi,Miyagi & Andy Panda,31/08/2020
37,38,Влюбляешься зря,NLO,31/08/2020
38,39,Such a Whore (Stellular Remix),JVLA,31/08/2020
39,40,Двигаться,Raim,31/08/2020
40,41,Меня не будет,ANIKV feat. SALUKI,31/08/2020
41,42,Забил,ATL,31/08/2020
42,43,Были танцы,"Бьянка, Артур Бабич",31/08/2020
43,44,На тебя смотрю,"ВесЪ, Jah Khalib",31/08/2020
44,45,Если бы не ты,"Nebezao, NЮ",31/08/2020
45,46,Ей нравится,Леша Свик,31/08/2020
46,47,77,MACAN,31/08/2020
47,48,Ты беспощадна,JONY,31/08/2020
48,49,Положение,"DIOR, Samo & ID",31/08/2020
49,50,Boom Boom,"LOBODA, PHARAOH",31/08/2020
50,51,Нежность,Mary Gu,31/08/2020
51,52,Спой,Миша Марвин feat. Мот,31/08/2020
52,53,BANG BANG,Смоки Мо feat. Guf,31/08/2020
53,54,Kosandra,Miyagi & Andy Panda,31/08/2020
54,55,Ну почему,Agunda,31/08/2020
55,56,Было или нет?,"ANIKV, SALUKI",31/08/2020
56,57,Utopia,Miyagi & Andy Panda,31/08/2020
57,58,УРЫЛ 0$,ДЕТИ RAVE,31/08/2020
58,59,Black Guard,Нурминский,31/08/2020
59,60,Кайф ты поймала,Konfuz,31/08/2020
60,61,911,Элджей,31/08/2020
61,62,Времена,Макс Корж,31/08/2020
62,63,РОЛЕКС,DAVA feat. Филипп Киркоров,31/08/2020
63,64,ХЕДШОТ,GAYAZOV$ BROTHER$,31/08/2020
64,65,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,31/08/2020
65,66,Lovefool,twocolors,31/08/2020
66,67,В последний раз,Тима Белорусских,31/08/2020
67,68,Дежавю,kizaru,31/08/2020
68,69,BALENCIAGA,FILV,31/08/2020
69,70,Кино,MACAN,31/08/2020
70,71,KISS,Basiaga feat. Benz,31/08/2020
71,72,Золото,Супер Жорик,31/08/2020
72,73,Океан,Мари Краймбрери,31/08/2020
73,74,Пикачу,"MIA BOYKA, ЕГОР ШИП",31/08/2020
74,75,Ну чё ты такой хороший?,Асия,31/08/2020
75,76,Тобой дышу,"Bahh Tee, Turken",31/08/2020
76,77,Плачу на техно,"Cream Soda, ХЛЕБ",31/08/2020
77,78,Папа,PUSSYKILLER,31/08/2020
78,79,Кайфули,Ганвест,31/08/2020
79,80,Tantra,Miyagi & Andy Panda,31/08/2020
80,81,Ревную,Liza Evans,31/08/2020
81,82,Москва любит...,Скриптонит,31/08/2020
82,83,Такси,"Мохито, Зомб",31/08/2020
83,84,Cadillac Club Remix,"MORGENSHTERN, Элджей",31/08/2020
84,85,МАЛЬЧИК,ФОГЕЛЬ,31/08/2020
85,86,Море волнуется раз,Konfuz,31/08/2020
86,87,Кометы,polnalyubvi,31/08/2020
87,88,Бумажный дом,Мот,31/08/2020
88,89,Fly 2,"Zivert, NILETTO",31/08/2020
89,90,Atlant,Miyagi & Andy Panda,31/08/2020
90,91,Она любила розы,Ислам Итляшев,31/08/2020
91,92,Девочка танцуй,Artik & Asti,31/08/2020
92,93,ВЕСНУШКИ,Тима Белорусских,31/08/2020
93,94,Забываю обещания,Andro,31/08/2020
94,95,Вальс,Ramil',31/08/2020
95,96,Камин,EMIN feat. JONY,31/08/2020
96,97,РАТАТАТАТА,"MORGENSHTERN, Витя АК",31/08/2020
97,98,ЧЁРНЫЙ БУМЕР,DAVA feat. SERYOGA,31/08/2020
98,99,Луна не знает пути,"Тайпан, Agunda",31/08/2020
99,100,Психушка,Karna.val,31/08/2020
100,1,Вали,Канги,01/09/2020
101,2,БЕГИ feat. Poët,Dj Smash,01/09/2020
102,3,Сияй,Ramil’,01/09/2020
103,4,Ты пари,JONY,01/09/2020
104,5,Minor,Miyagi & Andy Panda,01/09/2020
105,6,Не смогу,"VERBEE, KARA KROSS",01/09/2020
106,7,Lollipop,"Gafur, JONY",01/09/2020
107,8,Юность,Dabro,01/09/2020
108,9,Мир сошёл с ума,JONY,01/09/2020
109,10,Втюрилась,дора,01/09/2020
110,11,Минимум,"Ямаджи, Фейджи",01/09/2020
111,12,Fendi,Rakhim,01/09/2020
112,13,Там ревели горы,Miyagi & Andy Panda,01/09/2020
113,14,Твой поцелуй,"Асия, NЮ",01/09/2020
114,15,Поболело и прошло,HENSY,01/09/2020
115,16,Изгибы твоего тела,Buga,01/09/2020
116,17,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,01/09/2020
117,18,Cadillac,"MORGENSHTERN, Элджей",01/09/2020
118,19,Hollywood,MACAN,01/09/2020
119,20,X.O,"The Limba, Andro",01/09/2020
120,21,Тепло,Макс Корж,01/09/2020
121,22,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",01/09/2020
122,23,А уже фсё,MITCHEL,01/09/2020
123,24,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/2020
124,25,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",01/09/2020
125,26,ICE (feat. MORGENSHTERN),MORGENSHTERN,01/09/2020
126,27,неболей,"Баста, Zivert",01/09/2020
127,28,Да пошло всё,Мэвл,01/09/2020
128,29,Краш,"Клава Кока, NILETTO",01/09/2020
129,30,Ананасовый сироп,"Natan, Ганвест",01/09/2020
130,31,По щекам слёзы,"КУЧЕР, JANAGA",01/09/2020
131,32,А если это любовь?,HammAli & Navai,01/09/2020
132,33,Небесные розы,JONY,01/09/2020
133,34,Влюбляешься зря,NLO,01/09/2020
134,35,А за окном дожди,JONY,01/09/2020
135,36,Yamakasi,Miyagi & Andy Panda,01/09/2020
136,37,Спой,Миша Марвин feat. Мот,01/09/2020
137,38,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",01/09/2020
138,39,Французский поцелуй,"Миша Марвин, Ханна",01/09/2020
139,40,На тебя смотрю,"ВесЪ, Jah Khalib",01/09/2020
140,41,Such a Whore (Stellular Remix),JVLA,01/09/2020
141,42,Забил,ATL,01/09/2020
142,43,Меня не будет,ANIKV feat. SALUKI,01/09/2020
143,44,Были танцы,"Бьянка, Артур Бабич",01/09/2020
144,45,Ей нравится,Леша Свик,01/09/2020
145,46,77,MACAN,01/09/2020
146,47,Если бы не ты,"Nebezao, NЮ",01/09/2020
147,48,Двигаться,Raim,01/09/2020
148,49,Нежность,Mary Gu,01/09/2020
149,50,Положение,"DIOR, Samo & ID",01/09/2020
150,51,Ты беспощадна,JONY,01/09/2020
151,52,BANG BANG,Смоки Мо feat. Guf,01/09/2020
152,53,Boom Boom,"LOBODA, PHARAOH",01/09/2020
153,54,Ну почему,Agunda,01/09/2020
154,55,Kosandra,Miyagi & Andy Panda,01/09/2020
155,56,Было или нет?,"ANIKV, SALUKI",01/09/2020
156,57,Utopia,Miyagi & Andy Panda,01/09/2020
157,58,911,Элджей,01/09/2020
158,59,Black Guard,Нурминский,01/09/2020
159,60,УРЫЛ 0$,ДЕТИ RAVE,01/09/2020
160,61,Времена,Макс Корж,01/09/2020
161,62,Кайф ты поймала,Konfuz,01/09/2020
162,63,В последний раз,Тима Белорусских,01/09/2020
163,64,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,01/09/2020
164,65,РОЛЕКС,DAVA feat. Филипп Киркоров,01/09/2020
165,66,Дежавю,kizaru,01/09/2020
166,67,Lovefool,twocolors,01/09/2020
167,68,Она любила розы,Ислам Итляшев,01/09/2020
168,69,KISS,Basiaga feat. Benz,01/09/2020
169,70,Кино,MACAN,01/09/2020
170,71,ХЕДШОТ,GAYAZOV$ BROTHER$,01/09/2020
171,72,Океан,Мари Краймбрери,01/09/2020
172,73,Ну чё ты такой хороший?,Асия,01/09/2020
173,74,Папа,PUSSYKILLER,01/09/2020
174,75,BALENCIAGA,FILV,01/09/2020
175,76,Такси,"Мохито, Зомб",01/09/2020
