,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
0,1,Сияй,Ramil',01/09/20 - 07/09/20,33.571,,,,
1,2,Minor,Miyagi & Andy Panda,01/09/20 - 07/09/20,36.286,,,,
2,3,Юность,Dabro,01/09/20 - 07/09/20,38.143,,,,
3,4,Вали,Канги,01/09/20 - 07/09/20,38.357,,,,
4,5,Lollipop,"Gafur, JONY",01/09/20 - 07/09/20,39.0,,,,
5,6,Поболело и прошло,HENSY,01/09/20 - 07/09/20,43.5,,,,
6,7,Там ревели горы,Miyagi & Andy Panda,01/09/20 - 07/09/20,43.57100000000001,,,,
7,8,Fendi,Rakhim,01/09/20 - 07/09/20,44.0,,,,
8,9,Не смогу,"VERBEE, KARA KROSS",01/09/20 - 07/09/20,44.929,,,,
9,10,Lollipop,"Элджей, MORGENSHTERN",01/09/20 - 07/09/20,45.57100000000001,,,,
10,11,Cadillac,"MORGENSHTERN, Элджей",01/09/20 - 07/09/20,45.929,,,,
11,12,Если тебе будет грустно,"Rauf & Faik, NILETTO",01/09/20 - 07/09/20,46.714,,,,
12,13,БЕГИ feat. Poët,Dj Smash,01/09/20 - 07/09/20,46.857,,,,
13,14,Твой поцелуй,"Асия, NЮ",01/09/20 - 07/09/20,47.143,,,,
14,15,X.O,"The Limba, Andro",01/09/20 - 07/09/20,48.429,,,,
15,16,Минимум,"Ямаджи, Фейджи",01/09/20 - 07/09/20,48.857,,,,
16,17,Ты пари,JONY,01/09/20 - 07/09/20,49.0,,,,
17,18,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",01/09/20 - 07/09/20,50.429,,,,
18,19,Втюрилась,дора,01/09/20 - 07/09/20,50.57100000000001,,,,
19,20,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,50.57100000000001,,,,
20,21,неболей,"Баста, Zivert",01/09/20 - 07/09/20,51.429,,,,
21,22,Краш,"Клава Кока, NILETTO",01/09/20 - 07/09/20,54.07100000000001,,,,
22,23,Мир сошёл с ума,JONY,01/09/20 - 07/09/20,54.143,,,,
23,24,Тепло,Макс Корж,01/09/20 - 07/09/20,54.929,,,,
24,25,Изгибы твоего тела,Buga,01/09/20 - 07/09/20,56.429,,,,
25,26,А если это любовь?,HammAli & Navai,01/09/20 - 07/09/20,57.357,,,,
26,27,Coco L'Eau,"Егор Крид, The Limba",01/09/20 - 07/09/20,58.143,,,,
27,28,ERRDAY,Big Baby Tape,01/09/20 - 07/09/20,59.429,,,,
28,29,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",01/09/20 - 07/09/20,59.429,,,,
29,30,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,01/09/20 - 07/09/20,60.0,,,,
30,31,Ананасовый сироп,"Natan, Ганвест",01/09/20 - 07/09/20,60.357,,,,
31,32,Французский поцелуй,"Миша Марвин, Ханна",01/09/20 - 07/09/20,62.286,,,,
32,33,Влюбляешься зря,NLO,01/09/20 - 07/09/20,62.857,,,,
33,34,На тебя смотрю,"ВесЪ, Jah Khalib",01/09/20 - 07/09/20,65.0,,,,
34,35,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,65.286,,,,
35,36,А уже фсё,MITCHEL,01/09/20 - 07/09/20,65.429,,,,
36,37,Hollywood,MACAN,01/09/20 - 07/09/20,67.0,,,,
37,38,По щекам слёзы,"КУЧЕР, JANAGA",01/09/20 - 07/09/20,67.0,,,,
38,39,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",01/09/20 - 07/09/20,67.357,,,,
39,40,Лето на ветер,"Гуф, Кравц",01/09/20 - 07/09/20,68.0,,,,
40,41,ICE (feat. MORGENSHTERN),MORGENSHTERN,01/09/20 - 07/09/20,70.429,,,,
41,42,Да пошло всё,Мэвл,01/09/20 - 07/09/20,71.0,,,,
42,43,Двигаться,Raim,01/09/20 - 07/09/20,71.286,,,,
43,44,Небесные розы,JONY,01/09/20 - 07/09/20,72.429,,,,
44,45,Yamakasi,Miyagi & Andy Panda,01/09/20 - 07/09/20,73.143,,,,
45,46,Спой,Миша Марвин feat. Мот,01/09/20 - 07/09/20,73.643,,,,
46,47,Дерзко,Truwer feat. Kali,01/09/20 - 07/09/20,75.571,,,,
47,48,Such a Whore (Stellular Remix),JVLA,01/09/20 - 07/09/20,76.286,,,,
48,49,Она любила розы,Ислам Итляшев,01/09/20 - 07/09/20,76.714,,,,
49,50,Меня не будет,ANIKV feat. SALUKI,01/09/20 - 07/09/20,77.286,,,,
50,51,Ты беспощадна,JONY,01/09/20 - 07/09/20,77.286,,,,
51,52,А за окном дожди,JONY,01/09/20 - 07/09/20,78.286,,,,
52,53,Если бы не ты,"Nebezao, NЮ",01/09/20 - 07/09/20,81.286,,,,
53,54,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,01/09/20 - 07/09/20,81.429,,,,
54,55,77,MACAN,01/09/20 - 07/09/20,81.857,,,,
55,56,Kosandra,Miyagi & Andy Panda,01/09/20 - 07/09/20,82.071,,,,
56,57,Положение,"DIOR, Samo & ID",01/09/20 - 07/09/20,82.5,,,,
57,58,Ну почему,Agunda,01/09/20 - 07/09/20,82.714,,,,
58,59,БАУНТИ,"Gidayyat, Gazan, Зомб",01/09/20 - 07/09/20,83.85700000000001,,,,
59,60,Забил,ATL,01/09/20 - 07/09/20,84.286,,,,
60,61,Лютики,просто Лера,01/09/20 - 07/09/20,84.429,,,,
61,62,Аферист,Хаски,01/09/20 - 07/09/20,85.14299999999999,,,,
62,63,Плачу на техно,"Cream Soda, ХЛЕБ",01/09/20 - 07/09/20,87.14299999999999,,,,
63,64,Lovefool,twocolors,01/09/20 - 07/09/20,87.14299999999999,,,,
64,65,Ей нравится,Леша Свик,01/09/20 - 07/09/20,87.571,,,,
65,66,Нежность,Mary Gu,01/09/20 - 07/09/20,87.714,,,,
66,67,Boom Boom,"LOBODA, PHARAOH",01/09/20 - 07/09/20,88.286,,,,
67,68,"Мама, как быть?",Люся Чеботина,01/09/20 - 07/09/20,89.0,,,,
68,69,Время молодёжи,Яд Добра,01/09/20 - 07/09/20,90.429,,,,
69,70,BANG BANG,Смоки Мо feat. Guf,01/09/20 - 07/09/20,90.429,,,,
70,71,Utopia,Miyagi & Andy Panda,01/09/20 - 07/09/20,91.714,,,,
71,72,Дежавю,kizaru,01/09/20 - 07/09/20,91.714,,,,
72,73,Были танцы,"Бьянка, Артур Бабич",01/09/20 - 07/09/20,92.857,,,,
73,74,Океан,Мари Краймбрери,01/09/20 - 07/09/20,93.214,,,,
74,75,WAP (feat. Megan Thee Stallion),Cardi B feat. Megan Thee Stallion,01/09/20 - 07/09/20,93.571,,,,
75,76,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,01/09/20 - 07/09/20,93.857,,,,
76,77,Кайф ты поймала,Konfuz,01/09/20 - 07/09/20,94.571,,,,
77,78,Black Guard,Нурминский,01/09/20 - 07/09/20,94.571,,,,
78,79,Fly 2,"Zivert, NILETTO",01/09/20 - 07/09/20,95.643,,,,
79,80,В последний раз,Тима Белорусских,01/09/20 - 07/09/20,95.929,,,,
80,81,BALENCIAGA,FILV,01/09/20 - 07/09/20,97.643,,,,
81,82,Пикачу,"MIA BOYKA, ЕГОР ШИП",01/09/20 - 07/09/20,97.857,,,,
82,83,Кино,MACAN,01/09/20 - 07/09/20,98.286,,,,
83,84,Психушка,Karna.val,01/09/20 - 07/09/20,98.429,,,,
84,85,ХЕДШОТ,GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,98.857,,,,
85,86,Кометы,polnalyubvi,01/09/20 - 07/09/20,99.286,,,,
86,87,Золото,Супер Жорик,01/09/20 - 07/09/20,99.857,,,,
87,88,911,Элджей,01/09/20 - 07/09/20,100.286,,,,
88,89,Времена,Макс Корж,01/09/20 - 07/09/20,101.429,,,,
89,90,Тобой дышу,"Bahh Tee, Turken",01/09/20 - 07/09/20,102.857,,,,
90,91,В Потолок,KURT92 feat. Boulevard Depo,01/09/20 - 07/09/20,103.143,,,,
91,92,KISS,Basiaga feat. Benz,01/09/20 - 07/09/20,103.143,,,,
92,93,Ну чё ты такой хороший?,Асия,01/09/20 - 07/09/20,103.214,,,,
93,94,Москва любит...,Скриптонит,01/09/20 - 07/09/20,105.143,,,,
94,95,РОЛЕКС,DAVA feat. Филипп Киркоров,01/09/20 - 07/09/20,108.286,,,,
95,96,Ревную,Liza Evans,01/09/20 - 07/09/20,109.0,,,,
96,97,Tantra,Miyagi & Andy Panda,01/09/20 - 07/09/20,110.857,,,,
97,98,3-е сентября,Шуфутинский Михаил,01/09/20 - 07/09/20,117.429,,,,
98,99,Кайфули,Ганвест,01/09/20 - 07/09/20,118.357,,,,
99,100,Папа,PUSSYKILLER,01/09/20 - 07/09/20,118.714,,,,
100,101,МАЛЬЧИК,ФОГЕЛЬ,01/09/20 - 07/09/20,128.286,,,,
101,102,За закатами,Ханза,01/09/20 - 07/09/20,128.714,,,,
102,103,Не хочешь домой,kavabanga Depo kolibri,01/09/20 - 07/09/20,129.143,,,,
103,104,Лав,Даня Милохин,01/09/20 - 07/09/20,131.0,,,,
104,105,Обилие,Mr Lambo,01/09/20 - 07/09/20,132.0,,,,
105,106,Было или нет?,"ANIKV, SALUKI",01/09/20 - 07/09/20,132.0,,,,
106,107,УРЫЛ 0$,ДЕТИ RAVE,01/09/20 - 07/09/20,132.571,,,,
107,108,Море волнуется раз,Konfuz,01/09/20 - 07/09/20,134.0,,,,
108,109,Третье сентября,Михаил Барский,01/09/20 - 07/09/20,134.857,,,,
109,110,Падала звезда,"Тайпан, Sharai, GARIKO",01/09/20 - 07/09/20,136.0,,,,
110,111,Авторитеты,Jamik,01/09/20 - 07/09/20,141.286,,,,
111,112,Такси,"Мохито, Зомб",01/09/20 - 07/09/20,142.286,,,,
112,113,Atlant,Miyagi & Andy Panda,01/09/20 - 07/09/20,143.286,,,,
113,114,Cadillac Club Remix,"MORGENSHTERN, Элджей",01/09/20 - 07/09/20,143.429,,,,
114,115,Бумажный дом,Мот,01/09/20 - 07/09/20,143.571,,,,
115,1,Сияй,Ramil',02/09/20 - 08/09/20,20.357,,,,
116,2,Вали,Канги,02/09/20 - 08/09/20,21.285999999999998,,,,
117,3,Minor,Miyagi & Andy Panda,02/09/20 - 08/09/20,22.429000000000002,,,,
118,4,Если тебе будет грустно,"Rauf & Faik, NILETTO",02/09/20 - 08/09/20,25.570999999999998,,,,
119,5,Юность,Dabro,02/09/20 - 08/09/20,25.857,,,,
120,6,Lollipop,"Gafur, JONY",02/09/20 - 08/09/20,25.857,,,,
121,7,БЕГИ feat. Poët,Dj Smash,02/09/20 - 08/09/20,26.143,,,,
122,8,Минимум,"Ямаджи, Фейджи",02/09/20 - 08/09/20,28.285999999999998,,,,
123,9,Не смогу,"VERBEE, KARA KROSS",02/09/20 - 08/09/20,29.214000000000002,,,,
124,10,Там ревели горы,Miyagi & Andy Panda,02/09/20 - 08/09/20,29.643,,,,
125,11,Ты пари,JONY,02/09/20 - 08/09/20,29.785999999999998,,,,
126,12,Fendi,Rakhim,02/09/20 - 08/09/20,30.570999999999998,,,,
127,13,Втюрилась,дора,02/09/20 - 08/09/20,30.714000000000002,,,,
128,14,Lollipop,"Элджей, MORGENSHTERN",02/09/20 - 08/09/20,30.857,,,,
129,15,Поболело и прошло,HENSY,02/09/20 - 08/09/20,32.214,,,,
130,16,Cadillac,"MORGENSHTERN, Элджей",02/09/20 - 08/09/20,35.0,,,,
131,17,Твой поцелуй,"Асия, NЮ",02/09/20 - 08/09/20,35.357,,,,
132,18,Мир сошёл с ума,JONY,02/09/20 - 08/09/20,35.714,,,,
133,19,Coco L'Eau,"Егор Крид, The Limba",02/09/20 - 08/09/20,36.714,,,,
134,20,X.O,"The Limba, Andro",02/09/20 - 08/09/20,37.357,,,,
135,21,Изгибы твоего тела,Buga,02/09/20 - 08/09/20,37.714,,,,
136,22,ERRDAY,Big Baby Tape,02/09/20 - 08/09/20,38.429,,,,
137,23,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",02/09/20 - 08/09/20,38.929,,,,
138,24,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,40.214,,,,
139,25,неболей,"Баста, Zivert",02/09/20 - 08/09/20,41.0,,,,
140,26,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",02/09/20 - 08/09/20,41.286,,,,
141,27,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,02/09/20 - 08/09/20,42.143,,,,
142,28,Тепло,Макс Корж,02/09/20 - 08/09/20,43.07100000000001,,,,
143,29,Влюбляешься зря,NLO,02/09/20 - 08/09/20,44.428999999999995,,,,
144,30,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,44.857,,,,
145,31,Краш,"Клава Кока, NILETTO",02/09/20 - 08/09/20,45.143,,,,
146,32,А если это любовь?,HammAli & Navai,02/09/20 - 08/09/20,47.428999999999995,,,,
147,33,А уже фсё,MITCHEL,02/09/20 - 08/09/20,48.857,,,,
148,34,Лето на ветер,"Гуф, Кравц",02/09/20 - 08/09/20,49.428999999999995,,,,
149,35,По щекам слёзы,"КУЧЕР, JANAGA",02/09/20 - 08/09/20,49.857,,,,
150,36,Ананасовый сироп,"Natan, Ганвест",02/09/20 - 08/09/20,50.5,,,,
151,37,Hollywood,MACAN,02/09/20 - 08/09/20,51.286,,,,
152,38,Французский поцелуй,"Миша Марвин, Ханна",02/09/20 - 08/09/20,52.928999999999995,,,,
153,39,ICE (feat. MORGENSHTERN),MORGENSHTERN,02/09/20 - 08/09/20,55.143,,,,
