,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
0,1,Юность,Dabro,01/09/20 - 07/09/20,29.857,,,,
1,2,Сияй,Ramil',01/09/20 - 07/09/20,30.929,,,,
2,3,Краш,Клава Кока & NILETTO,01/09/20 - 07/09/20,32.214,,,,
3,4,Поболело и прошло,HENSY,01/09/20 - 07/09/20,33.0,,,,
4,5,неболей,"Zivert, Баста",01/09/20 - 07/09/20,34.0,,,,
5,6,А уже фсё (prod. by SOAHX),Mitchel,01/09/20 - 07/09/20,36.143,,,,
6,7,Cadillac,"MORGENSHTERN, Элджей",01/09/20 - 07/09/20,36.214,,,,
7,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,37.929,,,,
8,9,Беги (feat. Poët),Dj Smash,01/09/20 - 07/09/20,38.643,,,,
9,10,Blinding Lights,The Weeknd,01/09/20 - 07/09/20,40.429,,,,
10,11,Lollipop,"Gafur, JONY",01/09/20 - 07/09/20,41.0,,,,
11,12,X.O,"The Limba, Andro",01/09/20 - 07/09/20,42.786,,,,
12,13,А если это любовь?,HammAli & Navai,01/09/20 - 07/09/20,42.929,,,,
13,14,Плачу на техно,"Cream Soda, Хлеб",01/09/20 - 07/09/20,43.714,,,,
14,15,Lovefool,twocolors,01/09/20 - 07/09/20,44.0,,,,
15,16,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",01/09/20 - 07/09/20,44.357,,,,
16,17,Minor,Miyagi & Andy Panda,01/09/20 - 07/09/20,46.286,,,,
17,18,Fly 2,"Zivert, NILETTO",01/09/20 - 07/09/20,47.286,,,,
18,19,"Девочка, танцуй",Artik & Asti,01/09/20 - 07/09/20,49.357,,,,
19,20,Покинула чат,Клава Кока,01/09/20 - 07/09/20,49.57100000000001,,,,
20,21,Твой поцелуй,"Асия, NЮ",01/09/20 - 07/09/20,49.643,,,,
21,22,Французский поцелуй,Миша Марвин & Ханна,01/09/20 - 07/09/20,50.786,,,,
22,23,ЯТЛ,Zivert,01/09/20 - 07/09/20,51.714,,,,
23,24,Fendi,Rakhim,01/09/20 - 07/09/20,53.0,,,,
24,25,Lollipop,"Элджей, MORGENSHTERN",01/09/20 - 07/09/20,55.143,,,,
25,26,Там ревели горы,Miyagi & Andy Panda,01/09/20 - 07/09/20,55.214,,,,
26,27,Двигаться,RaiM,01/09/20 - 07/09/20,55.643,,,,
27,28,Ананасовый сироп,Natan & Ганвест,01/09/20 - 07/09/20,56.286,,,,
28,29,Любимка,NILETTO,01/09/20 - 07/09/20,58.714,,,,
29,30,Ты беспощадна,JONY,01/09/20 - 07/09/20,59.429,,,,
30,31,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,60.929,,,,
31,32,UNO,Little Big,01/09/20 - 07/09/20,62.214,,,,
32,33,August,Intelligency,01/09/20 - 07/09/20,63.857,,,,
33,34,Тепло,Макс Корж,01/09/20 - 07/09/20,64.143,,,,
34,35,Комета,JONY,01/09/20 - 07/09/20,65.071,,,,
35,36,Credo,Zivert,01/09/20 - 07/09/20,65.357,,,,
36,37,Все мимо,Artik & Asti,01/09/20 - 07/09/20,65.857,,,,
37,38,Beverly Hills,Zivert,01/09/20 - 07/09/20,67.429,,,,
38,39,На своём вайбе,"Jah Khalib, GUF",01/09/20 - 07/09/20,68.5,,,,
39,40,Луна не знает пути,"Тайпан, Agunda",01/09/20 - 07/09/20,68.5,,,,
40,41,Пикачу,Mia Boyka & ЕГОР ШИП,01/09/20 - 07/09/20,69.0,,,,
41,42,Прятки,HammAli & Navai,01/09/20 - 07/09/20,69.357,,,,
